N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
35.0,하이브,220500.0,8500.0,+4.01%,500.0,210000.0,222000.0,210000.0
36.0,우리금융지주,11760.0,290.0,-2.41%,5000.0,12000.0,12030.0,11600.0
37.0,카카오뱅크,18570.0,210.0,-1.12%,5000.0,18550.0,18840.0,18200.0
38.0,기업은행,11030.0,490.0,-4.25%,5000.0,11420.0,11490.0,10970.0
39.0,두산에너빌리티,13620.0,40.0,+0.29%,5000.0,13450.0,13640.0,13450.0
40.0,KT,32500.0,100.0,+0.31%,5000.0,32250.0,32600.0,32150.0
41.0,크래프톤,163800.0,1400.0,-0.85%,100.0,165200.0,166600.0,161300.0
42.0,S-Oil,69200.0,800.0,+1.17%,2500.0,69000.0,69600.0,68400.0
43.0,대한항공,19890.0,220.0,+1.12%,5000.0,19600.0,20300.0,19570.0
44.0,HMM,14710.0,100.0,-0.68%,5000.0,14780.0,14840.0,14490.0
45.0,TIGER CD금리투자KIS(합성),53235.0,0.0,0.00%,0.0,53235.0,53240.0,53230.0
46.0,아모레퍼시픽,115700.0,1300.0,-1.11%,500.0,116800.0,116900.0,114100.0
47.0,HD한국조선해양,93200.0,1500.0,-1.58%,5000.0,94200.0,95600.0,91500.0
48.0,삼성중공업,7220.0,30.0,+0.42%,1000.0,7260.0,7410.0,7110.0
49.0,현대글로비스,168900.0,2400.0,-1.40%,500.0,169700.0,171700.0,168600.0
50.0,롯데케미칼,146600.0,10000.0,+7.32%,5000.0,135500.0,146800.0,135300.0
51.0,DB손해보험,85900.0,900.0,+1.06%,500.0,85500.0,86400.0,84000.0
52.0,SK스퀘어,43500.0,1300.0,+3.08%,100.0,41800.0,43600.0,41700.0
53.0,SK바이오팜,75800.0,1000.0,+1.34%,500.0,74400.0,76300.0,74400.0
54.0,KODEX 200,31010.0,55.0,+0.18%,0.0,30810.0,31050.0,30800.0
55.0,금양,95300.0,4100.0,+4.50%,500.0,91000.0,97300.0,89100.0
56.0,한미반도체,56600.0,600.0,-1.05%,100.0,56500.0,57600.0,56100.0
57.0,LG이노텍,226000.0,500.0,+0.22%,5000.0,224000.0,229000.0,223500.0
58.0,한화오션,24600.0,200.0,+0.82%,5000.0,24550.0,25100.0,24100.0
59.0,한화에어로스페이스,103600.0,6000.0,+6.15%,5000.0,97900.0,104200.0,97800.0
60.0,맥쿼리인프라,12010.0,20.0,+0.17%,0.0,11980.0,12050.0,11980.0
61.0,엔씨소프트,231000.0,500.0,+0.22%,500.0,228000.0,232500.0,228000.0
62.0,LG생활건강,313500.0,2000.0,+0.64%,5000.0,309000.0,313500.0,305500.0
63.0,한국항공우주,49250.0,1700.0,+3.58%,5000.0,47700.0,49500.0,47450.0
64.0,카카오페이,35650.0,800.0,+2.30%,500.0,34500.0,35800.0,34200.0
65.0,한화솔루션,27700.0,200.0,+0.73%,5000.0,27300.0,27850.0,26900.0
66.0,오리온,118600.0,900.0,-0.75%,500.0,118400.0,120600.0,117600.0
67.0,삼성엔지니어링,23900.0,2650.0,-9.98%,5000.0,26000.0,26300.0,23600.0
68.0,SK바이오사이언스,60600.0,1900.0,+3.24%,500.0,58200.0,61000.0,58200.0
69.0,HD현대,58600.0,100.0,-0.17%,1000.0,58900.0,59100.0,58200.0
70.0,한국타이어앤테크놀로지,37000.0,200.0,-0.54%,500.0,36950.0,37200.0,36650.0
71.0,코스모신소재,149000.0,1400.0,+0.95%,1000.0,144400.0,150700.0,144300.0
72.0,LG디스플레이,12410.0,120.0,+0.98%,5000.0,12290.0,12430.0,12120.0
73.0,SK아이이테크놀로지,61700.0,1000.0,+1.65%,1000.0,60000.0,62200.0,60000.0
74.0,LG유플러스,10070.0,30.0,-0.30%,5000.0,10100.0,10110.0,10050.0
75.0,유한양행,57100.0,300.0,+0.53%,1000.0,56500.0,57600.0,56500.0
76.0,현대제철,32200.0,1200.0,+3.87%,5000.0,30800.0,32200.0,30700.0
77.0,KODEX KOFR금리액티브(합성),104705.0,10.0,+0.01%,0.0,104705.0,104705.0,104700.0
78.0,CJ제일제당,278000.0,1000.0,-0.36%,5000.0,276000.0,280000.0,276000.0
79.0,미래에셋증권,6590.0,40.0,+0.61%,5000.0,6550.0,6630.0,6540.0
80.0,두산밥캣,39200.0,3200.0,-7.55%,500.0,41800.0,41900.0,38350.0
81.0,KODEX CD금리액티브(합성),1015725.0,55.0,+0.01%,0.0,1015725.0,1015730.0,1015725.0
82.0,현대오토에버,139000.0,14900.0,-9.68%,500.0,151200.0,151200.0,138000.0
83.0,금호석유,129100.0,6500.0,+5.30%,5000.0,123000.0,129400.0,122800.0
84.0,현대건설,33950.0,0.0,0.00%,5000.0,33650.0,34100.0,33600.0
85.0,한온시스템,7070.0,70.0,-0.98%,100.0,7100.0,7140.0,7050.0
86.0,GS,39500.0,200.0,+0.51%,5000.0,39200.0,39750.0,39200.0
87.0,현대차2우B,101200.0,300.0,-0.30%,5000.0,101500.0,102300.0,101000.0
88.0,삼성카드,31250.0,50.0,-0.16%,5000.0,31350.0,31400.0,31100.0
89.0,F&F,93900.0,6900.0,+7.93%,100.0,88000.0,94000.0,87900.0
90.0,한미약품,281500.0,5500.0,+1.99%,2500.0,274500.0,282000.0,273000.0
91.0,넷마블,38100.0,100.0,+0.26%,100.0,37650.0,38450.0,37600.0
92.0,NH투자증권,9720.0,120.0,-1.22%,5000.0,9820.0,9820.0,9670.0
93.0,코웨이,43150.0,1100.0,+2.62%,500.0,42200.0,43350.0,42100.0
94.0,삼성증권,35300.0,300.0,-0.84%,5000.0,35450.0,35700.0,35150.0
95.0,강원랜드,14550.0,70.0,+0.48%,500.0,14400.0,14590.0,14400.0
96.0,현대미포조선,73000.0,800.0,+1.11%,5000.0,72200.0,74500.0,72200.0
97.0,SKC,75000.0,2000.0,+2.74%,5000.0,72500.0,77000.0,72500.0
98.0,한진칼,42400.0,350.0,-0.82%,2500.0,42300.0,44200.0,42100.0
99.0,현대해상,31250.0,250.0,-0.79%,500.0,31500.0,31800.0,31050.0
100.0,쌍용C&E,5560.0,10.0,+0.18%,100.0,5530.0,5600.0,5520.0
101.0,한국금융지주,49400.0,150.0,-0.30%,5000.0,49350.0,49700.0,49100.0
102.0,KODEX 종합채권(AA-이상)액티브,103615.0,150.0,+0.14%,0.0,103585.0,103735.0,103540.0
103.0,농심,444500.0,4000.0,+0.91%,5000.0,440500.0,446000.0,434000.0
104.0,롯데지주,25700.0,600.0,+2.39%,200.0,25000.0,25750.0,25000.0
105.0,LS,83200.0,2200.0,+2.72%,5000.0,80500.0,83300.0,80100.0
106.0,HD현대일렉트릭,73300.0,1100.0,-1.48%,5000.0,74400.0,75100.0,71400.0
107.0,현대로템,24100.0,350.0,+1.47%,5000.0,23550.0,24250.0,23550.0
108.0,GS리테일,24450.0,350.0,+1.45%,1000.0,24100.0,24550.0,24100.0
109.0,두산로보틱스,38800.0,6500.0,+20.12%,500.0,32300.0,40100.0,32150.0
110.0,BGF리테일,141800.0,3200.0,+2.31%,1000.0,138600.0,142400.0,137800.0
111.0,한화시스템,12880.0,1140.0,+9.71%,5000.0,11740.0,13030.0,11740.0
112.0,CJ,83000.0,3500.0,+4.40%,5000.0,79600.0,84600.0,79500.0
113.0,현대차우,100200.0,300.0,-0.30%,5000.0,100500.0,101400.0,100000.0
114.0,한화생명,2755.0,0.0,0.00%,5000.0,2745.0,2780.0,2720.0
115.0,호텔신라,59800.0,8700.0,-12.70%,5000.0,61000.0,61200.0,57900.0
116.0,TIGER 미국나스닥100,85960.0,135.0,-0.16%,0.0,86220.0,86270.0,85880.0
117.0,제일기획,20150.0,300.0,+1.51%,200.0,20000.0,20400.0,19850.0
118.0,영원무역,52200.0,1200.0,+2.35%,500.0,50300.0,52300.0,50300.0
119.0,팬오션,4315.0,60.0,+1.41%,1000.0,4230.0,4320.0,4210.0
120.0,TIGER 200,31050.0,70.0,+0.23%,0.0,30775.0,31090.0,30770.0
121.0,KODEX 레버리지,13910.0,60.0,+0.43%,0.0,13740.0,13945.0,13695.0
122.0,TIGER KOFR금리액티브(합성),103260.0,5.0,0.00%,0.0,103260.0,103265.0,103260.0
123.0,TIGER 차이나전기차SOLACTIVE,8555.0,20.0,-0.23%,0.0,8555.0,8615.0,8485.0
124.0,아모레G,26700.0,250.0,-0.93%,500.0,26550.0,26950.0,26300.0
125.0,한미사이언스,31300.0,300.0,+0.97%,500.0,30650.0,31550.0,30650.0
126.0,LG화학우,284500.0,2500.0,+0.89%,5000.0,277500.0,287500.0,277000.0
127.0,BNK금융지주,6780.0,110.0,-1.60%,5000.0,6910.0,6940.0,6720.0
128.0,휠라홀딩스,35750.0,750.0,+2.14%,1000.0,35100.0,36050.0,34950.0
129.0,키움증권,82000.0,2700.0,+3.40%,5000.0,78700.0,82100.0,78200.0
130.0,DB하이텍,48400.0,600.0,+1.26%,5000.0,47700.0,48700.0,47700.0
131.0,LS ELECTRIC,71200.0,200.0,+0.28%,5000.0,70800.0,71900.0,70500.0
132.0,한국가스공사,23100.0,150.0,+0.65%,5000.0,22950.0,23100.0,22850.0
133.0,KCC,233000.0,8500.0,+3.79%,5000.0,224500.0,234500.0,223000.0
134.0,에스원,54400.0,600.0,-1.09%,500.0,55000.0,55100.0,54200.0
135.0,롯데쇼핑,71900.0,600.0,+0.84%,5000.0,71000.0,72000.0,70900.0
136.0,한전기술,53100.0,600.0,+1.14%,200.0,52200.0,53700.0,52000.0
137.0,이마트,72800.0,500.0,+0.69%,5000.0,72500.0,73000.0,71600.0
138.0,LIG넥스원,90400.0,4600.0,+5.36%,5000.0,87100.0,90800.0,86500.0
139.0,OCI홀딩스,100200.0,200.0,+0.20%,5000.0,99000.0,101300.0,98100.0
140.0,씨에스윈드,47000.0,100.0,-0.21%,500.0,46700.0,47450.0,46700.0
141.0,JB금융지주,9940.0,250.0,-2.45%,5000.0,10190.0,10250.0,9910.0
142.0,TIGER 미국S&P500,13945.0,125.0,-0.89%,0.0,13995.0,13995.0,13930.0
143.0,삼아알미늄,129600.0,400.0,+0.31%,500.0,128300.0,131400.0,123500.0
144.0,KODEX 200TR,10620.0,15.0,+0.14%,0.0,10565.0,10640.0,10555.0
145.0,롯데에너지머티리얼즈,39750.0,1750.0,+4.61%,500.0,37500.0,39900.0,37500.0
146.0,CJ대한통운,75800.0,1400.0,+1.88%,5000.0,74400.0,76000.0,73500.0
147.0,동서,17310.0,200.0,+1.17%,500.0,17050.0,17510.0,17050.0
148.0,현대엘리베이,44000.0,500.0,+1.15%,5000.0,43700.0,44200.0,43500.0
149.0,한솔케미칼,150500.0,1600.0,+1.07%,5000.0,147100.0,151800.0,147100.0
150.0,효성중공업,178100.0,2500.0,+1.42%,5000.0,181200.0,185500.0,174100.0
151.0,한화,22100.0,50.0,-0.23%,5000.0,22050.0,22200.0,21500.0
152.0,KODEX 200선물인버스2X,3040.0,15.0,-0.49%,0.0,3095.0,3100.0,3030.0
153.0,신세계,165600.0,6100.0,-3.55%,5000.0,169100.0,169500.0,160500.0
154.0,대우건설,3915.0,10.0,-0.25%,5000.0,3910.0,3960.0,3885.0
155.0,효성첨단소재,363000.0,13500.0,+3.86%,5000.0,345000.0,367000.0,344500.0
156.0,HL만도,33900.0,1800.0,-5.04%,1000.0,35550.0,35700.0,33000.0
157.0,코스맥스,137200.0,3900.0,+2.93%,500.0,133400.0,138500.0,132500.0
158.0,현대위아,57100.0,3700.0,-6.09%,5000.0,60200.0,61000.0,57000.0
159.0,TIGER 미국테크TOP10 INDXX,13420.0,70.0,+0.52%,0.0,13410.0,13470.0,13410.0
160.0,한올바이오파마,29250.0,350.0,+1.21%,500.0,28850.0,29350.0,28550.0
161.0,효성티앤씨,348500.0,22500.0,+6.90%,5000.0,326000.0,349000.0,326000.0
162.0,KODEX 23-12 은행채(AA+이상)액티브,10445.0,5.0,-0.05%,0.0,10445.0,10450.0,10445.0
163.0,오뚜기,369500.0,500.0,+0.14%,5000.0,367000.0,369500.0,365500.0
164.0,롯데정밀화학,57200.0,1800.0,+3.25%,5000.0,54600.0,57500.0,54500.0
165.0,한전KPS,32700.0,50.0,+0.15%,200.0,32600.0,32900.0,32500.0
166.0,TCC스틸,55800.0,100.0,+0.18%,1000.0,55600.0,56700.0,54000.0
167.0,하이트진로,20850.0,200.0,-0.95%,5000.0,21050.0,21150.0,20800.0
168.0,솔루엠,29050.0,600.0,-2.02%,500.0,29650.0,30050.0,29050.0
169.0,이수페타시스,22600.0,100.0,+0.44%,1000.0,22250.0,22700.0,21950.0
170.0,TIGER TOP10,10235.0,40.0,+0.39%,0.0,10185.0,10270.0,10145.0
171.0,대한전선,11350.0,90.0,+0.80%,1000.0,11200.0,11360.0,10790.0
172.0,TIGER 미국필라델피아반도체나스닥,11660.0,40.0,+0.34%,0.0,11645.0,11690.0,11640.0
173.0,KG모빌리티,7480.0,50.0,+0.67%,5000.0,7400.0,7530.0,7350.0
174.0,HD현대인프라코어,7000.0,180.0,-2.51%,1000.0,7050.0,7210.0,6880.0
175.0,삼양식품,183800.0,1300.0,+0.71%,5000.0,183800.0,185200.0,182000.0
176.0,SK가스,148400.0,700.0,+0.47%,5000.0,148900.0,149400.0,147000.0
177.0,에스엘,29450.0,700.0,-2.32%,500.0,30000.0,30300.0,29200.0
178.0,DGB금융지주,7930.0,160.0,-1.98%,5000.0,8050.0,8090.0,7840.0
179.0,KODEX 단기채권PLUS,108130.0,0.0,0.00%,0.0,108135.0,108135.0,108125.0
180.0,SK네트웍스,5670.0,110.0,+1.98%,2500.0,5560.0,5730.0,5520.0
181.0,동원산업,28600.0,50.0,-0.17%,1000.0,28450.0,28750.0,28450.0
182.0,롯데칠성,143000.0,1400.0,+0.99%,500.0,141600.0,143400.0,140800.0
183.0,DL이앤씨,33900.0,100.0,-0.29%,5000.0,34100.0,34300.0,33500.0
184.0,금호타이어,4360.0,120.0,-2.68%,5000.0,4480.0,4520.0,4355.0
185.0,효성,59200.0,800.0,+1.37%,5000.0,58900.0,59300.0,58000.0
186.0,한국콜마,54400.0,800.0,+1.49%,500.0,53600.0,54500.0,53000.0
187.0,덴티움,112100.0,3100.0,-2.69%,500.0,116700.0,118100.0,112100.0
188.0,두산,75000.0,1800.0,+2.46%,5000.0,72300.0,76400.0,72200.0
189.0,현대백화점,52900.0,1000.0,-1.86%,5000.0,52800.0,53400.0,52000.0
190.0,LX세미콘,75600.0,100.0,+0.13%,500.0,75300.0,76000.0,75000.0
191.0,에스디바이오센서,9850.0,160.0,+1.65%,500.0,9640.0,9930.0,9630.0
192.0,코리안리,8660.0,80.0,-0.92%,500.0,8740.0,8740.0,8500.0
193.0,KBSTAR 200,31210.0,65.0,+0.21%,0.0,30965.0,31250.0,30930.0
194.0,코오롱인더,43850.0,800.0,+1.86%,5000.0,42650.0,43950.0,42650.0
195.0,대웅제약,101000.0,0.0,0.00%,2500.0,101000.0,101700.0,100200.0
196.0,종근당,93000.0,500.0,-0.53%,2500.0,91700.0,93600.0,91700.0
197.0,KBSTAR 머니마켓액티브,50985.0,0.0,0.00%,0.0,50985.0,50990.0,50985.0
198.0,코스모화학,33150.0,650.0,+2.00%,1000.0,32000.0,33350.0,32000.0
199.0,한국앤컴퍼니,12130.0,150.0,+1.25%,500.0,11820.0,12210.0,11820.0
200.0,녹십자,97900.0,1100.0,+1.14%,5000.0,95700.0,98200.0,95700.0
201.0,GS건설,13320.0,70.0,+0.53%,5000.0,13150.0,13350.0,13150.0
202.0,한샘,48150.0,100.0,-0.21%,1000.0,48250.0,48900.0,47800.0
203.0,두산퓨얼셀,16730.0,280.0,+1.70%,100.0,16190.0,16740.0,16190.0
204.0,TIGER 2차전지테마,23720.0,380.0,+1.63%,0.0,22845.0,23855.0,22845.0
205.0,롯데웰푸드,114200.0,900.0,+0.79%,500.0,113300.0,114700.0,112500.0
206.0,KODEX 삼성그룹,8340.0,0.0,0.00%,0.0,8250.0,8340.0,8250.0
207.0,KODEX 24-12 은행채(AA+이상)액티브,10040.0,0.0,0.00%,0.0,10040.0,10040.0,10035.0
208.0,영원무역홀딩스,77600.0,1000.0,+1.31%,500.0,76600.0,78200.0,76600.0
209.0,대한유화,160200.0,17200.0,+12.03%,5000.0,146000.0,160500.0,145800.0
210.0,대덕전자,20950.0,450.0,-2.10%,500.0,21100.0,21350.0,20750.0
211.0,KODEX 코스닥150레버리지,8605.0,200.0,+2.38%,0.0,8370.0,8695.0,8310.0
212.0,SK리츠,3780.0,15.0,-0.40%,500.0,3785.0,3805.0,3780.0
213.0,풍산,35550.0,1500.0,+4.41%,5000.0,34100.0,35650.0,34100.0
214.0,LX인터내셔널,25500.0,800.0,+3.24%,5000.0,24550.0,25550.0,24550.0
215.0,SK오션플랜트,16530.0,170.0,+1.04%,500.0,16310.0,16800.0,16240.0
216.0,SK케미칼,56600.0,400.0,+0.71%,5000.0,55600.0,56700.0,55600.0
217.0,오리온홀딩스,15580.0,0.0,0.00%,500.0,15600.0,15770.0,15440.0
218.0,GKL,15590.0,400.0,+2.63%,500.0,15120.0,15670.0,15120.0
219.0,KODEX 2차전지산업,20615.0,450.0,+2.23%,0.0,19880.0,20750.0,19880.0
220.0,후성,9990.0,210.0,+2.15%,500.0,9650.0,10040.0,9650.0
221.0,롯데렌탈,25700.0,250.0,-0.96%,5000.0,25800.0,25950.0,25500.0
222.0,KBSTAR 종합채권(A-이상)액티브,96050.0,200.0,-0.21%,0.0,96015.0,96125.0,96015.0
223.0,TIGER MSCI Korea TR,13070.0,45.0,+0.35%,0.0,12990.0,13070.0,12950.0
224.0,TKG휴켐스,22400.0,650.0,+2.99%,1000.0,21500.0,22400.0,21500.0
225.0,DL,43300.0,2350.0,+5.74%,5000.0,40700.0,43400.0,40700.0
226.0,HD현대건설기계,46000.0,750.0,-1.60%,5000.0,46100.0,46600.0,44850.0
227.0,영풍,487500.0,1500.0,-0.31%,5000.0,481500.0,491000.0,481500.0
228.0,KODEX Top5PlusTR,17415.0,40.0,-0.23%,0.0,17410.0,17475.0,17395.0
229.0,이노션,43850.0,100.0,+0.23%,500.0,43750.0,44000.0,43150.0
230.0,KODEX 단기채권,107470.0,0.0,0.00%,0.0,107485.0,107485.0,107470.0
231.0,동원시스템즈,29800.0,250.0,+0.85%,5000.0,29600.0,29900.0,29350.0
232.0,대웅,14790.0,150.0,-1.00%,500.0,14810.0,14920.0,14560.0
233.0,미래에셋생명,4850.0,0.0,0.00%,5000.0,4890.0,5000.0,4770.0
234.0,한일시멘트,12340.0,210.0,+1.73%,500.0,12030.0,12360.0,12030.0
235.0,더존비즈온,28100.0,200.0,+0.72%,500.0,27800.0,28350.0,27800.0
236.0,한세실업,21150.0,300.0,+1.44%,500.0,20850.0,21350.0,20600.0
237.0,명신산업,16090.0,180.0,-1.11%,500.0,16180.0,16270.0,15920.0
238.0,세아제강지주,198400.0,4100.0,+2.11%,5000.0,194800.0,199700.0,193800.0
239.0,롯데관광개발,10710.0,290.0,+2.78%,500.0,10290.0,10760.0,10240.0
240.0,OCI,108600.0,4000.0,+3.82%,5000.0,103600.0,108900.0,102400.0
241.0,아이에스동서,26100.0,0.0,0.00%,500.0,25700.0,26250.0,25700.0
242.0,솔루스첨단소재,22950.0,100.0,+0.44%,100.0,22350.0,23000.0,22350.0
243.0,제주항공,10440.0,330.0,+3.26%,1000.0,10090.0,10470.0,10060.0
244.0,미원상사,164900.0,0.0,0.00%,500.0,164900.0,165700.0,164900.0
245.0,아시아나항공,10720.0,1080.0,+11.20%,5000.0,9890.0,12000.0,9800.0
246.0,LG전자우,46150.0,900.0,+1.99%,5000.0,45200.0,46300.0,45200.0
247.0,DN오토모티브,78400.0,400.0,+0.51%,500.0,78100.0,79800.0,78000.0
248.0,제이알글로벌리츠,3955.0,15.0,+0.38%,1000.0,3940.0,3960.0,3925.0
249.0,해성디에스,45850.0,850.0,-1.82%,5000.0,46150.0,46650.0,44550.0
250.0,세아베스틸지주,21450.0,0.0,0.00%,5000.0,21500.0,21700.0,21100.0
251.0,TIGER 200 IT,29355.0,395.0,+1.36%,0.0,28860.0,29375.0,28860.0
252.0,HDC현대산업개발,11430.0,270.0,-2.31%,5000.0,11580.0,11680.0,11200.0
253.0,PI첨단소재,25350.0,250.0,+1.00%,500.0,25100.0,25800.0,25000.0
254.0,드림텍,10830.0,510.0,+4.94%,100.0,10330.0,10950.0,10220.0
255.0,NHN,21250.0,250.0,+1.19%,500.0,20850.0,21300.0,20850.0
256.0,다우기술,16450.0,100.0,+0.61%,500.0,16350.0,16490.0,16160.0
257.0,더블유게임즈,40400.0,400.0,-0.98%,500.0,40500.0,41050.0,40350.0
258.0,일진하이솔루스,19960.0,70.0,+0.35%,500.0,19440.0,19970.0,19440.0
259.0,롯데손해보험,2325.0,10.0,+0.43%,1000.0,2280.0,2365.0,2220.0
260.0,대신증권,14160.0,60.0,+0.43%,5000.0,13950.0,14220.0,13950.0
261.0,율촌화학,28950.0,250.0,-0.86%,500.0,29200.0,29300.0,28700.0
262.0,넥센타이어,7350.0,70.0,-0.94%,500.0,7420.0,7480.0,7240.0
263.0,동양생명,4420.0,80.0,-1.78%,5000.0,4550.0,4550.0,4405.0
264.0,이수스페셜티케미컬,126800.0,600.0,+0.48%,5000.0,123600.0,128000.0,121600.0
265.0,세방전지,50600.0,600.0,-1.17%,500.0,50600.0,51100.0,50300.0
266.0,하나투어,43950.0,500.0,+1.15%,500.0,43200.0,44200.0,43200.0
267.0,SK디스커버리,37000.0,500.0,+1.37%,5000.0,36400.0,37200.0,36400.0
268.0,미원에스씨,140500.0,2300.0,-1.61%,500.0,142800.0,142800.0,140500.0
269.0,KODEX 인버스,4980.0,15.0,-0.30%,0.0,5025.0,5030.0,4975.0
270.0,KG스틸,6990.0,80.0,+1.16%,5000.0,6810.0,7010.0,6810.0
271.0,삼성 레버리지 WTI원유 선물 ETN,1720.0,10.0,-0.58%,0.0,1730.0,1745.0,1720.0
272.0,경동나비엔,47650.0,1000.0,+2.14%,1000.0,46600.0,48200.0,46100.0
273.0,롯데리츠,2845.0,10.0,-0.35%,500.0,2860.0,2895.0,2840.0
274.0,ESR켄달스퀘어리츠,3225.0,0.0,0.00%,1000.0,3230.0,3275.0,3205.0
275.0,TIGER 단기채권액티브,52735.0,10.0,+0.02%,0.0,52720.0,52740.0,52720.0
276.0,TIGER 단기통안채,104930.0,10.0,+0.01%,0.0,104930.0,104945.0,104930.0
277.0,대상,19580.0,20.0,+0.10%,1000.0,19510.0,19710.0,19460.0
278.0,비에이치,19040.0,510.0,+2.75%,500.0,18400.0,19110.0,18400.0
279.0,DI동일,25150.0,700.0,+2.86%,500.0,24700.0,25250.0,24400.0
280.0,한국단자,62500.0,300.0,-0.48%,500.0,62800.0,63400.0,62200.0
281.0,태광산업,582000.0,3000.0,+0.52%,5000.0,576000.0,583000.0,574000.0
282.0,녹십자홀딩스,13740.0,60.0,+0.44%,500.0,13620.0,13800.0,13550.0
283.0,KCC글라스,40400.0,450.0,+1.13%,1000.0,39950.0,40450.0,39950.0
284.0,CJ CGV,5130.0,20.0,+0.39%,500.0,5110.0,5170.0,5030.0
285.0,신풍제약,11850.0,120.0,+1.02%,500.0,11550.0,11900.0,11550.0
286.0,한국카본,12080.0,80.0,+0.67%,500.0,12000.0,12220.0,11920.0
287.0,TIGER 2차전지소재Fn,7395.0,190.0,+2.64%,0.0,7110.0,7435.0,7110.0
288.0,보령,9040.0,10.0,+0.11%,500.0,8960.0,9090.0,8950.0
289.0,KODEX 코스닥150,11905.0,165.0,+1.41%,0.0,11715.0,11970.0,11700.0
290.0,KODEX 자동차,16605.0,365.0,-2.15%,0.0,16830.0,16980.0,16595.0
291.0,쿠쿠홀딩스,17040.0,320.0,+1.91%,100.0,16720.0,17080.0,16630.0
292.0,F&F홀딩스,15490.0,440.0,+2.92%,500.0,15050.0,15630.0,14800.0
293.0,신한 레버리지 WTI원유 선물 ETN(H),1210.0,0.0,0.00%,0.0,1210.0,1220.0,1205.0
294.0,프레스티지바이오파마,10050.0,20.0,+0.20%,0.0,10010.0,10100.0,10000.0
295.0,SK디앤디,27200.0,100.0,+0.37%,1000.0,27300.0,27700.0,27000.0
296.0,SNT모티브,41050.0,400.0,-0.97%,5000.0,41800.0,41800.0,40950.0
297.0,동아쏘시오홀딩스,94500.0,4000.0,+4.42%,5000.0,91200.0,94500.0,89800.0
298.0,JW중외제약,26050.0,250.0,-0.95%,2500.0,26400.0,26400.0,24550.0
299.0,TIGER Fn반도체TOP10,8985.0,10.0,+0.11%,0.0,8940.0,9035.0,8915.0
300.0,ACE 미국S&P500,14095.0,135.0,-0.95%,0.0,14155.0,14155.0,14085.0
